nombre,fecha inicio,fecha termino
One Night Only,2017-09-26,08/10/2021
CARAVANA,2018-07-29,01/05/2019
S.U.N.O,2016-06-16,21/08/2018
Lively And Supreme,2018-08-30,09/11/2020
Bigger than me,2019-07-28,29/05/2021
Niño Blessi,2019-09-08,19/04/2020
Gowlding,2019-07-03,17/12/2022
Twelve Carat Tour,2018-01-29,07/08/2022
Mil Rosas,2016-03-03,29/11/2022
Dangerous Woman,2018-02-08,22/07/2021
How do you sleep,2021-09-25,14/09/2022
Passionfruit,2017-05-18,10/10/2020
A7S Show,2017-12-19,03/06/2019
Get Jacked,2017-01-16,14/02/2021
WAP,2016-03-06,23/12/2018
Papi Juancho,2020-09-18,17/07/2022
"Young, Dumb and Broke",2020-06-09,16/09/2022
Born this way,2017-05-08,09/12/2020
Perfect Specacular Paradise,2016-02-26,16/06/2016
El negrito ojos claros,2017-08-24,07/07/2018
Schulz Forever,2021-02-22,22/03/2022
Paramore,2016-05-30,01/11/2017
Anastasia,2019-12-07,07/04/2020
The After Hours,2018-04-20,11/04/2021
DISCOTEKA,2016-10-04,30/2/2021
Ko Ko Pop,2019-04-20,14/01/2020
Epic Show,2018-05-06,04/03/2022
Mami Tour,2022-07-09,19/12/2022
Telepatia,2017-03-02,04/06/2022
I Aint Worried,2019-12-01,15/05/2021
MMM Bop,2017-08-16,14/05/2022
Heather,2018-03-01,18/01/2021
